Pincode,Hub_Name,Hub_lat,Hub_long,Volumetric Lat,Volumetric Long,Distance,SP&A Aligned P mapping
784101,BVU_Balipara,26.8270172,92.7646612,26.80932888,92.78838879,4.1762,₹0
784102,BVU_Balipara,26.8270172,92.7646612,26.84943346,92.80567394,7.0835,₹1
784103,BVU_Balipara,26.8270172,92.7646612,26.84369755,92.7841413,7.6499,₹1
784104,BVU_Balipara,26.8270172,92.7646612,26.76597242,92.77050372,9.7305,₹1
784105,BVU_Balipara,26.8270172,92.7646612,26.76038681,92.79603946,10.7623,₹2
784503,BVU_Balipara,26.8270172,92.7646612,26.77768326,92.6926537,22.336299999999998,₹4
784504,BVU_Balipara,26.8270172,92.7646612,26.78586577,92.65783265,17.0431,₹3
784505,BVU_Balipara,26.8270172,92.7646612,26.81789121,92.68515059,9.592,₹1
781019,GHY_BHETAPARA_E,26.1195217,91.7760071,26.13932109,91.7669211,3.452,₹0
781028,GHY_BHETAPARA_E,26.1195217,91.7760071,26.12179301,91.78997464,1.7125,₹0
781034,GHY_BHETAPARA_E,26.1195217,91.7760071,26.1365549,91.74396443,6.6357,₹1
781038,GHY_BHETAPARA_E,26.1195217,91.7760071,26.1308368,91.78056277,2.0469,₹0
781040,GHY_BHETAPARA_E,26.1195217,91.7760071,26.11890216,91.7554219,3.0356,₹0
785640,SRTN_Sibasagar_E,26.9756737,94.6304725,26.98532424,94.63431472,1.851,₹0
785663,SRTN_Sibasagar_E,26.9756737,94.6304725,27.04406807,94.59230042,9.5903,₹1
785665,SRTN_Sibasagar_E,26.9756737,94.6304725,26.95719215,94.61612945,2.8693,₹0
785666,SRTN_Sibasagar_E,26.9756737,94.6304725,26.92318994,94.62388902,7.7008,₹1
785667,SRTN_Sibasagar_E,26.9756737,94.6304725,26.97632083,94.58099553,9.2935,₹1
785697,SRTN_Sibasagar_E,26.9756737,94.6304725,26.99744785,94.64637622,2.9701999999999997,₹0
